a,b,c,loss
9000,0.2,0.0,2.5027547710768665e+27
9000,0.2,0.01,2.5009936235266613e+27
9000,0.2,0.02,2.5043078393539203e+27
9000,0.2,0.03,2.4973337895024373e+27
9000,0.2,0.04,2.482212772024289e+27
9000,0.2,0.05,2.454981540848726e+27
9000,0.2,0.06,2.552843731769044e+27
9000,0.2,0.07,3.162860734856024e+27
9000,0.2,0.08,4.5455888256540926e+27
9000,0.2,0.09,7.100874316042685e+27
9000,0.2,0.1,1.097347043008168e+28
9000,0.26,0.0,2.501929537533985e+27
9000,0.26,0.01,2.498455941837929e+27
9000,0.26,0.02,2.512277423089573e+27
9000,0.26,0.03,2.5164608494975853e+27
9000,0.26,0.04,2.619414046634342e+27
9000,0.26,0.05,2.993937258545199e+27
9000,0.26,0.06,3.7336643872608746e+27
9000,0.26,0.07,5.392907695984324e+27
9000,0.26,0.08,8.489457846131607e+27
9000,0.26,0.09,1.3365073975807528e+28
9000,0.26,0.1,2.038813726901616e+28
9000,0.32000000000000006,0.0,2.503761225433528e+27
9000,0.32000000000000006,0.01,2.633602396732124e+27
9000,0.32000000000000006,0.02,3.262470496522909e+27
9000,0.32000000000000006,0.03,4.085243096170994e+27
9000,0.32000000000000006,0.04,5.390045351599894e+27
9000,0.32000000000000006,0.05,7.536453004210564e+27
9000,0.32000000000000006,0.06,1.0553379333090183e+28
9000,0.32000000000000006,0.07,1.4426674947664452e+28
9000,0.32000000000000006,0.08,1.947771223478372e+28
9000,0.32000000000000006,0.09,2.6035757016874455e+28
9000,0.32000000000000006,0.1,3.512742697488848e+28
9000,0.38000000000000006,0.0,2.495529845505981e+27
9000,0.38000000000000006,0.01,2.647455458809622e+27
9000,0.38000000000000006,0.02,3.225516798202833e+27
9000,0.38000000000000006,0.03,4.218851830479204e+27
9000,0.38000000000000006,0.04,6.301544724207186e+27
9000,0.38000000000000006,0.05,9.932156744635164e+27
9000,0.38000000000000006,0.06,1.5296760346808598e+28
9000,0.38000000000000006,0.07,2.1657580215108764e+28
9000,0.38000000000000006,0.08,2.9280438358856394e+28
9000,0.38000000000000006,0.09,3.7746021690938043e+28
9000,0.38000000000000006,0.1,4.789771653099533e+28
9000,0.44000000000000006,0.0,2.5011352945211474e+27
9000,0.44000000000000006,0.01,2.503958384234188e+27
9000,0.44000000000000006,0.02,2.6598726263284225e+27
9000,0.44000000000000006,0.03,3.1565000023515035e+27
9000,0.44000000000000006,0.04,3.972524930591378e+27
9000,0.44000000000000006,0.05,5.272048170588241e+27
9000,0.44000000000000006,0.06,7.264283544041045e+27
9000,0.44000000000000006,0.07,9.900770716398391e+27
9000,0.44000000000000006,0.08,1.4044323823012428e+28
9000,0.44000000000000006,0.09,1.9562286276717054e+28
9000,0.44000000000000006,0.1,2.683570700960664e+28
9000,0.5,0.0,2.4957857387397716e+27
9000,0.5,0.01,2.4965914925209113e+27
9000,0.5,0.02,2.2530264391558014e+27
9000,0.5,0.03,1.8138862012161236e+27
9000,0.5,0.04,1.4733717018274628e+27
9000,0.5,0.05,1.1242903131300424e+27
9000,0.5,0.06,1.0345557576486008e+27
9000,0.5,0.07,1.2227396270207384e+27
9000,0.5,0.08,1.7659305695825823e+27
9000,0.5,0.09,2.876648727653881e+27
9000,0.5,0.1,4.7533227757564765e+27
9000,0.56,0.0,2.506852899740282e+27
9000,0.56,0.01,2.599525209895926e+27
9000,0.56,0.02,2.695766153373094e+27
9000,0.56,0.03,2.7555737442870173e+27
9000,0.56,0.04,2.8303839983691123e+27
9000,0.56,0.05,2.8890062752958354e+27
9000,0.56,0.06,2.8514038418801755e+27
9000,0.56,0.07,2.762501160769482e+27
9000,0.56,0.08,2.576275819109138e+27
9000,0.56,0.09,2.4166979060679123e+27
9000,0.56,0.1,2.4107382795665308e+27
9000,0.6200000000000001,0.0,2.5110699730094844e+27
9000,0.6200000000000001,0.01,2.545104363399431e+27
9000,0.6200000000000001,0.02,2.6148053120949664e+27
9000,0.6200000000000001,0.03,2.7046223614159056e+27
9000,0.6200000000000001,0.04,2.8907116398919617e+27
9000,0.6200000000000001,0.05,3.148281018635974e+27
9000,0.6200000000000001,0.06,3.479320384824662e+27
9000,0.6200000000000001,0.07,3.8584408205065926e+27
9000,0.6200000000000001,0.08,4.2822820667812987e+27
9000,0.6200000000000001,0.09,4.8059975272459304e+27
9000,0.6200000000000001,0.1,5.489595198242028e+27
9000,0.6800000000000002,0.0,2.5032925305601033e+27
9000,0.6800000000000002,0.01,2.4988316651212226e+27
9000,0.6800000000000002,0.02,2.4844880672253164e+27
9000,0.6800000000000002,0.03,2.440757330280465e+27
9000,0.6800000000000002,0.04,2.4646737553329583e+27
9000,0.6800000000000002,0.05,2.636364390828792e+27
9000,0.6800000000000002,0.06,2.9822969203128304e+27
9000,0.6800000000000002,0.07,3.4771112027543947e+27
9000,0.6800000000000002,0.08,4.1965693442297835e+27
9000,0.6800000000000002,0.09,5.265375466747946e+27
9000,0.6800000000000002,0.1,6.71613485454195e+27
9000,0.7400000000000002,0.0,2.497695345686282e+27
9000,0.7400000000000002,0.01,2.4991096944479015e+27
9000,0.7400000000000002,0.02,2.508553541969925e+27
9000,0.7400000000000002,0.03,2.4320811624598127e+27
9000,0.7400000000000002,0.04,2.3926126564136564e+27
9000,0.7400000000000002,0.05,2.43401851330941e+27
9000,0.7400000000000002,0.06,2.6028565443016855e+27
9000,0.7400000000000002,0.07,2.9710573929356954e+27
9000,0.7400000000000002,0.08,3.64225826161845e+27
9000,0.7400000000000002,0.09,4.769032908453363e+27
9000,0.7400000000000002,0.1,6.485276656364575e+27
9000,0.8,0.0,2.504597379448901e+27
9000,0.8,0.01,2.50085962637771e+27
9000,0.8,0.02,2.49283721116703e+27
9000,0.8,0.03,2.4762059218580786e+27
9000,0.8,0.04,2.4644560837528885e+27
9000,0.8,0.05,2.506779407911892e+27
9000,0.8,0.06,2.6425999806215164e+27
9000,0.8,0.07,2.9701259061469494e+27
9000,0.8,0.08,3.5571458699060694e+27
9000,0.8,0.09,4.490046712265821e+27
9000,0.8,0.1,6.000716992740562e+27
