a,b,c,loss
0.0,0.525,0.0,2.5035546218999026e+27
0.0,0.525,0.01,2.501931308421416e+27
0.0,0.525,0.02,2.4924414178261844e+27
0.0,0.525,0.03,2.5095526176289574e+27
0.0,0.525,0.04,2.502857482547869e+27
0.0,0.525,0.05,2.517156513110093e+27
0.0,0.525,0.06,2.4981882426879316e+27
0.0,0.525,0.07,2.494251264780744e+27
0.0,0.525,0.08,2.4996678191365957e+27
0.0,0.525,0.09,2.499421665783676e+27
0.0,0.525,0.1,2.4970168006522747e+27
1000.0,0.525,0.0,2.5020573365769277e+27
1000.0,0.525,0.01,2.494419203938791e+27
1000.0,0.525,0.02,2.5035366178776866e+27
1000.0,0.525,0.03,2.508186377975882e+27
1000.0,0.525,0.04,2.4676081158062514e+27
1000.0,0.525,0.05,2.4372390196767745e+27
1000.0,0.525,0.06,2.41516771175351e+27
1000.0,0.525,0.07,2.3981292659093636e+27
1000.0,0.525,0.08,2.352123824059295e+27
1000.0,0.525,0.09,2.2959896439732338e+27
1000.0,0.525,0.1,2.2412100451979934e+27
2000.0,0.525,0.0,2.5004408115002604e+27
2000.0,0.525,0.01,2.503770670166494e+27
2000.0,0.525,0.02,2.515894460667546e+27
2000.0,0.525,0.03,2.461428308967606e+27
2000.0,0.525,0.04,2.413438145029159e+27
2000.0,0.525,0.05,2.3683069312742315e+27
2000.0,0.525,0.06,2.296923639519174e+27
2000.0,0.525,0.07,2.2402348765192808e+27
2000.0,0.525,0.08,2.167653284269195e+27
2000.0,0.525,0.09,2.068435183872483e+27
2000.0,0.525,0.1,2.0160108653805739e+27
3000.0,0.525,0.0,2.5001164439524683e+27
3000.0,0.525,0.01,2.495063806963703e+27
3000.0,0.525,0.02,2.5170124809323655e+27
3000.0,0.525,0.03,2.4418054004917569e+27
3000.0,0.525,0.04,2.3540409572773874e+27
3000.0,0.525,0.05,2.2712836982743858e+27
3000.0,0.525,0.06,2.204750424471188e+27
3000.0,0.525,0.07,2.1030501301919176e+27
3000.0,0.525,0.08,2.0250800226369724e+27
3000.0,0.525,0.09,1.9102694059835878e+27
3000.0,0.525,0.1,1.7980168362243927e+27
4000.0,0.525,0.0,2.5097816524033766e+27
4000.0,0.525,0.01,2.4931739749268395e+27
4000.0,0.525,0.02,2.518120761316314e+27
4000.0,0.525,0.03,2.3982735932349963e+27
4000.0,0.525,0.04,2.285962436616623e+27
4000.0,0.525,0.05,2.1957926855489946e+27
4000.0,0.525,0.06,2.0876602329721506e+27
4000.0,0.525,0.07,1.984315374565221e+27
4000.0,0.525,0.08,1.8408221369125542e+27
4000.0,0.525,0.09,1.6759719968411096e+27
4000.0,0.525,0.1,1.536456467506545e+27
5000.0,0.525,0.0,2.498472174972714e+27
5000.0,0.525,0.01,2.5112066264895825e+27
5000.0,0.525,0.02,2.4971927088037616e+27
5000.0,0.525,0.03,2.3893822625914683e+27
5000.0,0.525,0.04,2.2184083937833625e+27
5000.0,0.525,0.05,2.0852865059447457e+27
5000.0,0.525,0.06,1.9646884815926517e+27
5000.0,0.525,0.07,1.8010145059233468e+27
5000.0,0.525,0.08,1.5850100687959797e+27
5000.0,0.525,0.09,1.4371824365818016e+27
5000.0,0.525,0.1,1.37685523778081e+27
6000.0,0.525,0.0,2.503803726731874e+27
6000.0,0.525,0.01,2.4989810099612433e+27
6000.0,0.525,0.02,2.4911908761519395e+27
6000.0,0.525,0.03,2.3406298791878954e+27
6000.0,0.525,0.04,2.164902358218971e+27
6000.0,0.525,0.05,1.998501511053714e+27
