a,b,c,loss
0.0,0.2,0.01,2.508329524709894e+27
0.0,0.26,0.01,2.4969312077597727e+27
0.0,0.32000000000000006,0.01,2.506789147792763e+27
0.0,0.38000000000000006,0.01,2.511675026215102e+27
0.0,0.44000000000000006,0.01,2.5136619619127695e+27
0.0,0.5,0.01,2.4973600576659983e+27
0.0,0.56,0.01,2.498134820917094e+27
0.0,0.6200000000000001,0.01,2.514815990222021e+27
0.0,0.6800000000000002,0.01,2.4999027568691184e+27
0.0,0.7400000000000002,0.01,2.509749186133807e+27
0.0,0.8,0.01,2.5028911294090594e+27
1000.0,0.2,0.01,2.511363940323043e+27
1000.0,0.26,0.01,2.50664423017132e+27
1000.0,0.32000000000000006,0.01,2.49908283598853e+27
1000.0,0.38000000000000006,0.01,2.519261212821927e+27
1000.0,0.44000000000000006,0.01,2.508925133182546e+27
1000.0,0.5,0.01,2.50392886944367e+27
1000.0,0.56,0.01,2.510156195095049e+27
1000.0,0.6200000000000001,0.01,2.5053600416358847e+27
1000.0,0.6800000000000002,0.01,2.4965427931165567e+27
1000.0,0.7400000000000002,0.01,2.5063688571757877e+27
1000.0,0.8,0.01,2.5081049171540527e+27
2000.0,0.2,0.01,2.505133663192612e+27
2000.0,0.26,0.01,2.5026694733322697e+27
2000.0,0.32000000000000006,0.01,2.531735048738522e+27
2000.0,0.38000000000000006,0.01,2.5398321363692124e+27
2000.0,0.44000000000000006,0.01,2.506354099780529e+27
2000.0,0.5,0.01,2.501837156239664e+27
2000.0,0.56,0.01,2.5330723638968896e+27
2000.0,0.6200000000000001,0.01,2.5140849088608915e+27
2000.0,0.6800000000000002,0.01,2.4978573818862255e+27
2000.0,0.7400000000000002,0.01,2.518841217352857e+27
2000.0,0.8,0.01,2.498481914853585e+27
3000.0,0.2,0.01,2.5005181402514174e+27
3000.0,0.26,0.01,2.499581340800378e+27
3000.0,0.32000000000000006,0.01,2.563122257566915e+27
3000.0,0.38000000000000006,0.01,2.560280278387943e+27
3000.0,0.44000000000000006,0.01,2.504465743483191e+27
3000.0,0.5,0.01,2.4959088154162314e+27
3000.0,0.56,0.01,2.5588824579090137e+27
3000.0,0.6200000000000001,0.01,2.540318540116948e+27
3000.0,0.6800000000000002,0.01,2.5048942982415116e+27
3000.0,0.7400000000000002,0.01,2.498985437179821e+27
3000.0,0.8,0.01,2.4972207478547537e+27
4000.0,0.2,0.01,2.517449594979936e+27
4000.0,0.26,0.01,2.509140591153327e+27
4000.0,0.32000000000000006,0.01,2.572515339649248e+27
4000.0,0.38000000000000006,0.01,2.5662511205097214e+27
4000.0,0.44000000000000006,0.01,2.5050896861547404e+27
4000.0,0.5,0.01,2.4979447456661586e+27
4000.0,0.56,0.01,2.5698238859019175e+27
4000.0,0.6200000000000001,0.01,2.540850101494176e+27
4000.0,0.6800000000000002,0.01,2.5005447035628835e+27
4000.0,0.7400000000000002,0.01,2.51173700727519e+27
4000.0,0.8,0.01,2.5046652634670925e+27
5000.0,0.2,0.01,2.5096364396340283e+27
5000.0,0.26,0.01,2.500216203944419e+27
5000.0,0.32000000000000006,0.01,2.5894642081041723e+27
5000.0,0.38000000000000006,0.01,2.5591011625067516e+27
5000.0,0.44000000000000006,0.01,2.5058617930746896e+27
5000.0,0.5,0.01,2.4951039470788073e+27
5000.0,0.56,0.01,2.570402080648164e+27
5000.0,0.6200000000000001,0.01,2.553351976461763e+27
5000.0,0.6800000000000002,0.01,2.511980504296963e+27
5000.0,0.7400000000000002,0.01,2.499693201856441e+27
5000.0,0.8,0.01,2.515467971944562e+27
6000.0,0.2,0.01,2.501835975648043e+27
6000.0,0.26,0.01,2.49610361303365e+27
6000.0,0.32000000000000006,0.01,2.576660691977492e+27
6000.0,0.38000000000000006,0.01,2.5781379072429147e+27
6000.0,0.44000000000000006,0.01,2.504009739969689e+27
6000.0,0.5,0.01,2.497110657686122e+27
6000.0,0.56,0.01,2.5882056974364876e+27
6000.0,0.6200000000000001,0.01,2.5492632925313134e+27
