a,b,c,loss
9000,0.2,0.0,
9000,0.2,0.001,908660375552.0
9000,0.2,0.002,912563109888.0
9000,0.2,0.003,910468382720.0
9000,0.2,0.004,914683396096.0
9000,0.2,0.005,935782449152.0
9000,0.2,0.006,974005927936.0
9000,0.2,0.007,1039905062912.0
9000,0.2,0.008,1107090341888.0
9000,0.2,0.009000000000000001,1207936614400.0
9000,0.2,0.01,1333315633152.0
9000,0.2,0.011,1477683314688.0
9000,0.2,0.012,1652889354240.0
9000,0.2,0.013000000000000001,1869926105088.0
9000,0.2,0.014,2119401472000.0
9000,0.2,0.015,2415192702976.0
9000,0.2,0.016,2732159139840.0
9000,0.2,0.017,3095992205312.0
9000,0.2,0.018000000000000002,3486148460544.0
9000,0.2,0.019,3907662905344.0
9000,0.2,0.02,4386682306560.0
9000,0.2,0.021,4975621046272.0
9000,0.2,0.022,5555626180608.0
9000,0.2,0.023,6163774046208.0
9000,0.2,0.024,6809554255872.0
9000,0.2,0.025,7529624502272.0
9000,0.2,0.026000000000000002,8246981033984.0
9000,0.2,0.027,9010970361856.0
9000,0.2,0.028,9772559499264.0
9000,0.2,0.029,10561863548928.0
9000,0.2,0.03,11375998926848.0
9000,0.2,0.031,12176153640960.0
9000,0.2,0.032,13025585135616.0
9000,0.2,0.033,13901825572864.0
9000,0.2,0.034,14803359760384.0
9000,0.2,0.035,15726275461120.0
9000,0.2,0.036000000000000004,16677533122560.0
9000,0.2,0.037,17677005357056.0
9000,0.2,0.038,18636745998336.0
9000,0.2,0.039,19630393393152.0
9000,0.2,0.04,20593065852928.0
9000,0.2,0.041,21561371262976.0
9000,0.2,0.042,22557820452864.0
9000,0.2,0.043000000000000003,23557255987200.0
9000,0.2,0.044,24619752882176.0
9000,0.2,0.045,25651929153536.0
9000,0.2,0.046,26747881914368.0
9000,0.2,0.047,27825123885056.0
9000,0.2,0.048,28971066458112.0
9000,0.2,0.049,30132641202176.0
9000,0.2,0.05,31260548268032.0
9000,0.2,0.051000000000000004,32423549075456.0
9000,0.2,0.052000000000000005,33569749598208.0
9000,0.2,0.053,34756867653632.0
9000,0.2,0.054,35904408256512.0
9000,0.2,0.055,37075378241536.0
9000,0.2,0.056,38238559404032.0
9000,0.2,0.057,39449522077696.0
9000,0.2,0.058,40682517430272.0
9000,0.2,0.059000000000000004,41918188748800.0
9000,0.2,0.06,43180099633152.0
9000,0.2,0.061,44442501251072.0
9000,0.2,0.062,45760695500800.0
9000,0.2,0.063,47051194761216.0
9000,0.2,0.064,48389089656832.0
9000,0.2,0.065,49796349952000.0
9000,0.2,0.066,51102468800512.0
9000,0.2,0.067,52502963683328.0
9000,0.2,0.068,53837276643328.0
9000,0.2,0.069,55210122674176.0
9000,0.2,0.07,56612177838080.0
9000,0.2,0.07100000000000001,57983824297984.0
9000,0.2,0.07200000000000001,59382016507904.0
9000,0.2,0.073,60774227640320.0
9000,0.2,0.074,62201859670016.0
9000,0.2,0.075,63632972972032.0
9000,0.2,0.076,64963691413504.0
9000,0.2,0.077,66337657323520.0
9000,0.2,0.078,67839868272640.0
9000,0.2,0.079,69284499816448.0
9000,0.2,0.08,70734294548480.0
9000,0.2,0.081,72200547729408.0
9000,0.2,0.082,73646592753664.0
9000,0.2,0.083,75169326432256.0
9000,0.2,0.084,76684250316800.0
9000,0.2,0.085,78222653915136.0
9000,0.2,0.08600000000000001,79729365352448.0
9000,0.2,0.08700000000000001,81262156972032.0
9000,0.2,0.088,82768230875136.0
9000,0.2,0.089,84301458702336.0
9000,0.2,0.09,85873148297216.0
9000,0.2,0.091,87399304527872.0
9000,0.2,0.092,88934679838720.0
9000,0.2,0.093,90466901032960.0
9000,0.2,0.094,92031359647744.0
9000,0.2,0.095,93545444671488.0
9000,0.2,0.096,95210516250624.0
9000,0.2,0.097,96805744279552.0
9000,0.2,0.098,98420970749952.0
9000,0.2,0.099,100056094998528.0
9000,0.2,0.1,101695916867584.0
9000,0.20600000000000002,0.0,905614917632.0
9000,0.20600000000000002,0.001,906529341440.0
9000,0.20600000000000002,0.002,894581080064.0
9000,0.20600000000000002,0.003,891122155520.0
9000,0.20600000000000002,0.004,908226396160.0
9000,0.20600000000000002,0.005,933940690944.0
9000,0.20600000000000002,0.006,980733591552.0
9000,0.20600000000000002,0.007,1037405847552.0
9000,0.20600000000000002,0.008,1111861231616.0
9000,0.20600000000000002,0.009000000000000001,1213054713856.0
9000,0.20600000000000002,0.01,1342905122816.0
9000,0.20600000000000002,0.011,1501887987712.0
9000,0.20600000000000002,0.012,1693432152064.0
9000,0.20600000000000002,0.013000000000000001,1894255689728.0
9000,0.20600000000000002,0.014,2107926511616.0
9000,0.20600000000000002,0.015,2360260689920.0
9000,0.20600000000000002,0.016,2655381618688.0
9000,0.20600000000000002,0.017,2989528973312.0
9000,0.20600000000000002,0.018000000000000002,3402688888832.0
9000,0.20600000000000002,0.019,3801301909504.0
9000,0.20600000000000002,0.02,4236218990592.0
9000,0.20600000000000002,0.021,4734365728768.0
9000,0.20600000000000002,0.022,5205757788160.0
9000,0.20600000000000002,0.023,5716303675392.0
9000,0.20600000000000002,0.024,6264211898368.0
9000,0.20600000000000002,0.025,6827392630784.0
9000,0.20600000000000002,0.026000000000000002,7429090705408.0
9000,0.20600000000000002,0.027,8102510329856.0
9000,0.20600000000000002,0.028,8770858516480.0
9000,0.20600000000000002,0.029,9435244134400.0
9000,0.20600000000000002,0.03,10070886711296.0
9000,0.20600000000000002,0.031,10718271242240.0
9000,0.20600000000000002,0.032,11391614320640.0
9000,0.20600000000000002,0.033,12139369594880.0
9000,0.20600000000000002,0.034,12896521158656.0
9000,0.20600000000000002,0.035,13673793847296.0
9000,0.20600000000000002,0.036000000000000004,14423803559936.0
9000,0.20600000000000002,0.037,15218526650368.0
9000,0.20600000000000002,0.038,16040401567744.0
9000,0.20600000000000002,0.039,16840082325504.0
9000,0.20600000000000002,0.04,17655698292736.0
