a,b,c,loss
9000,0.2,0.0,
9000,0.2,0.001,2.5695440856878075e+27
9000,0.2,0.002,2.5691409136493325e+27
9000,0.2,0.003,2.5745173278900795e+27
9000,0.2,0.004,2.6162851836915357e+27
9000,0.2,0.005,2.663993776528442e+27
9000,0.2,0.006,2.794240185900849e+27
9000,0.2,0.007,2.9741909782449846e+27
9000,0.2,0.008,3.1747301078628115e+27
9000,0.2,0.009000000000000001,3.435128184130063e+27
9000,0.2,0.01,3.779826405074641e+27
9000,0.2,0.011,4.1804572200860427e+27
9000,0.2,0.012,4.6546391882160443e+27
9000,0.2,0.013000000000000001,5.269540003690027e+27
9000,0.2,0.014,5.946926287021625e+27
9000,0.2,0.015,6.790490285702164e+27
9000,0.2,0.016,7.658388638868931e+27
9000,0.2,0.017,8.647010159099587e+27
9000,0.2,0.018000000000000002,9.720882200262248e+27
9000,0.2,0.019,1.0887335646025758e+28
9000,0.2,0.02,1.2169642318417699e+28
9000,0.2,0.021,1.3732064422882397e+28
9000,0.2,0.022,1.5311334750366354e+28
9000,0.2,0.023,1.6949869596618704e+28
9000,0.2,0.024,1.8730460310225498e+28
9000,0.2,0.025,2.059481163813895e+28
9000,0.2,0.026000000000000002,2.2476542455300983e+28
9000,0.2,0.027,2.4491255112620626e+28
9000,0.2,0.028,2.6543661699206534e+28
9000,0.2,0.029,2.859945422256066e+28
9000,0.2,0.03,3.0707646124408706e+28
9000,0.2,0.031,3.278655699287972e+28
9000,0.2,0.032,3.5007589841835938e+28
9000,0.2,0.033,3.72540691625851e+28
9000,0.2,0.034,3.954626335207168e+28
9000,0.2,0.035,4.185214295962561e+28
9000,0.2,0.036000000000000004,4.430851966462212e+28
9000,0.2,0.037,4.67787990165442e+28
9000,0.2,0.038,4.926116762666242e+28
9000,0.2,0.039,5.168521028835072e+28
9000,0.2,0.04,5.40102390919927e+28
9000,0.2,0.041,5.641976519911266e+28
9000,0.2,0.042,5.878332379088836e+28
9000,0.2,0.043000000000000003,6.125502457512178e+28
9000,0.2,0.044,6.381181768101003e+28
9000,0.2,0.045,6.6306936680632e+28
9000,0.2,0.046,6.894427446925208e+28
9000,0.2,0.047,7.151630192941406e+28
9000,0.2,0.048,7.435040656227587e+28
9000,0.2,0.049,7.705287995179416e+28
9000,0.2,0.05,7.973790419715825e+28
9000,0.2,0.051000000000000004,8.25568642007095e+28
9000,0.2,0.052000000000000005,8.528938600815829e+28
9000,0.2,0.053,8.812007637005298e+28
9000,0.2,0.054,9.085793445162741e+28
9000,0.2,0.055,9.354686881643932e+28
9000,0.2,0.056,9.633144999199527e+28
9000,0.2,0.057,9.921181964928975e+28
9000,0.2,0.058,1.0218213149861696e+29
9000,0.2,0.059000000000000004,1.0506954692670388e+29
9000,0.2,0.06,1.0805395976234894e+29
9000,0.2,0.061,1.1096934104474741e+29
9000,0.2,0.062,1.1401062061757919e+29
9000,0.2,0.063,1.1724308991983643e+29
9000,0.2,0.064,1.204894713137522e+29
9000,0.2,0.065,1.2372570906446277e+29
9000,0.2,0.066,1.2697951401848961e+29
9000,0.2,0.067,1.302963814545287e+29
9000,0.2,0.068,1.335033877567103e+29
9000,0.2,0.069,1.3673065301110341e+29
9000,0.2,0.07,1.4009999538350015e+29
9000,0.2,0.07100000000000001,1.4339177760878223e+29
9000,0.2,0.07200000000000001,1.4672159377371734e+29
9000,0.2,0.073,1.5002717475386236e+29
9000,0.2,0.074,1.5339696102870849e+29
9000,0.2,0.075,1.5675137127828638e+29
9000,0.2,0.076,1.6000769797601508e+29
9000,0.2,0.077,1.6328194133217978e+29
9000,0.2,0.078,1.6689951962111504e+29
9000,0.2,0.079,1.7047223542846304e+29
9000,0.2,0.08,1.739354867807381e+29
9000,0.2,0.081,1.7745873107681157e+29
9000,0.2,0.082,1.8109648331536164e+29
9000,0.2,0.083,1.8469670218510587e+29
9000,0.2,0.084,1.8850746304212236e+29
9000,0.2,0.085,1.9215345108781856e+29
9000,0.2,0.08600000000000001,1.9580897831381016e+29
9000,0.2,0.08700000000000001,1.995167915815001e+29
9000,0.2,0.088,2.0318172576152556e+29
9000,0.2,0.089,2.069214055582419e+29
9000,0.2,0.09,2.107321097468606e+29
9000,0.2,0.091,2.1445067112066554e+29
9000,0.2,0.092,2.1815413981119123e+29
9000,0.2,0.093,2.2201497664239207e+29
9000,0.2,0.094,2.2581332712029157e+29
