a,b,c,loss
0.0,0.525,0.0,904148090880.0
0.0,0.525,0.001,907488526336.0
0.0,0.525,0.002,908968722432.0
0.0,0.525,0.003,907768168448.0
0.0,0.525,0.004,908744982528.0
0.0,0.525,0.005,910794948608.0
0.0,0.525,0.006,911335030784.0
0.0,0.525,0.007,908871663616.0
0.0,0.525,0.008,906348068864.0
0.0,0.525,0.009000000000000001,909838712832.0
0.0,0.525,0.01,907698569216.0
0.0,0.525,0.011,906024255488.0
0.0,0.525,0.012,906914562048.0
0.0,0.525,0.013000000000000001,909225558016.0
0.0,0.525,0.014,904523350016.0
0.0,0.525,0.015,906530455552.0
0.0,0.525,0.016,907036131328.0
0.0,0.525,0.017,907010113536.0
0.0,0.525,0.018000000000000002,906962468864.0
0.0,0.525,0.019,908107055104.0
0.0,0.525,0.02,905119596544.0
0.0,0.525,0.021,907585519616.0
0.0,0.525,0.022,906668212224.0
0.0,0.525,0.023,906672209920.0
0.0,0.525,0.024,908766543872.0
0.0,0.525,0.025,909200064512.0
0.0,0.525,0.026000000000000002,909820952576.0
0.0,0.525,0.027,910691991552.0
0.0,0.525,0.028,910113636352.0
0.0,0.525,0.029,906961682432.0
0.0,0.525,0.03,905754116096.0
0.0,0.525,0.031,908263424000.0
0.0,0.525,0.032,908256477184.0
0.0,0.525,0.033,910216658944.0
0.0,0.525,0.034,906833887232.0
0.0,0.525,0.035,910318108672.0
0.0,0.525,0.036000000000000004,908969902080.0
0.0,0.525,0.037,906488184832.0
0.0,0.525,0.038,905288482816.0
0.0,0.525,0.039,909231259648.0
0.0,0.525,0.04,910999552000.0
0.0,0.525,0.041,909395034112.0
0.0,0.525,0.042,909150846976.0
0.0,0.525,0.043000000000000003,908670074880.0
0.0,0.525,0.044,906430644224.0
0.0,0.525,0.045,906841423872.0
0.0,0.525,0.046,906226499584.0
0.0,0.525,0.047,906854793216.0
0.0,0.525,0.048,908770279424.0
0.0,0.525,0.049,907450974208.0
0.0,0.525,0.05,909060145152.0
0.0,0.525,0.051000000000000004,906115547136.0
0.0,0.525,0.052000000000000005,910096596992.0
0.0,0.525,0.053,907125850112.0
0.0,0.525,0.054,909012303872.0
0.0,0.525,0.055,906419372032.0
0.0,0.525,0.056,907337400320.0
0.0,0.525,0.057,907930828800.0
0.0,0.525,0.058,905805037568.0
0.0,0.525,0.059000000000000004,909208780800.0
0.0,0.525,0.06,907037638656.0
0.0,0.525,0.061,907329667072.0
0.0,0.525,0.062,908476809216.0
0.0,0.525,0.063,906974199808.0
0.0,0.525,0.064,907083251712.0
0.0,0.525,0.065,910078377984.0
0.0,0.525,0.066,908879986688.0
0.0,0.525,0.067,909967753216.0
0.0,0.525,0.068,909223657472.0
0.0,0.525,0.069,906348265472.0
0.0,0.525,0.07,907695751168.0
0.0,0.525,0.07100000000000001,907116019712.0
0.0,0.525,0.07200000000000001,909221167104.0
0.0,0.525,0.073,909148160000.0
0.0,0.525,0.074,906364583936.0
0.0,0.525,0.075,907402543104.0
0.0,0.525,0.076,906302324736.0
0.0,0.525,0.077,906643636224.0
0.0,0.525,0.078,909474201600.0
0.0,0.525,0.079,909760331776.0
0.0,0.525,0.08,910941814784.0
0.0,0.525,0.081,911442051072.0
0.0,0.525,0.082,908593790976.0
0.0,0.525,0.083,909217693696.0
0.0,0.525,0.084,908471959552.0
0.0,0.525,0.085,905859563520.0
0.0,0.525,0.08600000000000001,908815892480.0
0.0,0.525,0.08700000000000001,907150491648.0
0.0,0.525,0.088,908240289792.0
0.0,0.525,0.089,906114433024.0
0.0,0.525,0.09,908693864448.0
0.0,0.525,0.091,910760017920.0
0.0,0.525,0.092,911643967488.0
0.0,0.525,0.093,909367640064.0
0.0,0.525,0.094,906974986240.0
0.0,0.525,0.095,908811829248.0
0.0,0.525,0.096,907814174720.0
0.0,0.525,0.097,907898322944.0
0.0,0.525,0.098,905563996160.0
0.0,0.525,0.099,907872239616.0
0.0,0.525,0.1,909220446208.0
100.0,0.525,0.0,907091640320.0
100.0,0.525,0.001,908506759168.0
100.0,0.525,0.002,907501961216.0
100.0,0.525,0.003,904580890624.0
100.0,0.525,0.004,899290103808.0
100.0,0.525,0.005,896588644352.0
100.0,0.525,0.006,895967035392.0
100.0,0.525,0.007,895079743488.0
100.0,0.525,0.008,895063031808.0
100.0,0.525,0.009000000000000001,890135052288.0
100.0,0.525,0.01,886382133248.0
100.0,0.525,0.011,885322088448.0
100.0,0.525,0.012,885776515072.0
100.0,0.525,0.013000000000000001,881018273792.0
100.0,0.525,0.014,886386786304.0
100.0,0.525,0.015,884509442048.0
100.0,0.525,0.016,878038941696.0
100.0,0.525,0.017,877512163328.0
100.0,0.525,0.018000000000000002,881544724480.0
100.0,0.525,0.019,878475345920.0
100.0,0.525,0.02,875746164736.0
100.0,0.525,0.021,877668794368.0
100.0,0.525,0.022,876568707072.0
100.0,0.525,0.023,875135172608.0
100.0,0.525,0.024,877471727616.0
100.0,0.525,0.025,875166367744.0
100.0,0.525,0.026000000000000002,871586594816.0
100.0,0.525,0.027,870380077056.0
100.0,0.525,0.028,871226605568.0
100.0,0.525,0.029,872837677056.0
100.0,0.525,0.03,872969338880.0
100.0,0.525,0.031,873408954368.0
100.0,0.525,0.032,873966862336.0
100.0,0.525,0.033,872386985984.0
100.0,0.525,0.034,870097944576.0
100.0,0.525,0.035,869755518976.0
100.0,0.525,0.036000000000000004,871899136000.0
100.0,0.525,0.037,869712396288.0
100.0,0.525,0.038,869499535360.0
