a,b,c,loss
0.0,0.525,0.0,2.500817125079364e+27
0.0,0.525,0.001,2.4999558834920507e+27
0.0,0.525,0.002,2.5056838188878664e+27
0.0,0.525,0.003,2.507529673886858e+27
0.0,0.525,0.004,2.505754064089299e+27
0.0,0.525,0.005,2.5026198884841996e+27
0.0,0.525,0.006,2.503853311579944e+27
0.0,0.525,0.007,2.501042618078921e+27
0.0,0.525,0.008,2.5038686592710134e+27
0.0,0.525,0.009000000000000001,2.501139131443915e+27
0.0,0.525,0.01,2.5040560781908023e+27
0.0,0.525,0.011,2.5106656203793887e+27
0.0,0.525,0.012,2.5015665056106144e+27
0.0,0.525,0.013000000000000001,2.499189089234395e+27
0.0,0.525,0.014,2.5162052514117e+27
0.0,0.525,0.015,2.5023911488576856e+27
0.0,0.525,0.016,2.5050403964545754e+27
0.0,0.525,0.017,2.5007601615336645e+27
0.0,0.525,0.018000000000000002,2.49705015236556e+27
0.0,0.525,0.019,2.50601910690815e+27
0.0,0.525,0.02,2.496621892755145e+27
0.0,0.525,0.021,2.4989320154089835e+27
0.0,0.525,0.022,2.4971428288077863e+27
0.0,0.525,0.023,2.500012551889845e+27
0.0,0.525,0.024,2.515626171221738e+27
0.0,0.525,0.025,2.498136001508715e+27
0.0,0.525,0.026000000000000002,2.5083941621011284e+27
0.0,0.525,0.027,2.502888473077913e+27
0.0,0.525,0.028,2.497241408208116e+27
0.0,0.525,0.029,2.503752961292183e+27
0.0,0.525,0.03,2.502156211125163e+27
0.0,0.525,0.031,2.514305974641871e+27
0.0,0.525,0.032,2.5037405650801656e+27
0.0,0.525,0.033,2.505932038276122e+27
0.0,0.525,0.034,2.505587600670778e+27
0.0,0.525,0.035,2.500574808649212e+27
0.0,0.525,0.036000000000000004,2.5041089096658294e+27
0.0,0.525,0.037,2.5003767644048365e+27
0.0,0.525,0.038,2.502205795973233e+27
0.0,0.525,0.039,2.497210122530167e+27
0.0,0.525,0.04,2.5077870428601745e+27
0.0,0.525,0.041,2.5098504218652833e+27
0.0,0.525,0.042,2.501119651682173e+27
0.0,0.525,0.043000000000000003,2.5088652181577947e+27
0.0,0.525,0.044,2.501373183732722e+27
0.0,0.525,0.045,2.503578528880222e+27
0.0,0.525,0.046,2.503826748268478e+27
0.0,0.525,0.047,2.5078410549268223e+27
0.0,0.525,0.048,2.5072669922512485e+27
0.0,0.525,0.049,2.5021736248515684e+27
0.0,0.525,0.05,2.5074792035950724e+27
0.0,0.525,0.051000000000000004,2.4980548358347905e+27
0.0,0.525,0.052000000000000005,2.5052053841335707e+27
0.0,0.525,0.053,2.494856908282172e+27
0.0,0.525,0.054,2.506107651279704e+27
0.0,0.525,0.055,2.5127236867222043e+27
0.0,0.525,0.056,2.498754926665876e+27
0.0,0.525,0.057,2.507599033644575e+27
0.0,0.525,0.058,2.4954020464630385e+27
