a,b,c,loss
0.0,0.2,0.01,906090381312.0
0.0,0.206,0.01,909051232256.0
0.0,0.212,0.01,910905835520.0
0.0,0.218,0.01,904996323328.0
0.0,0.224,0.01,906396172288.0
0.0,0.23,0.01,906703470592.0
0.0,0.236,0.01,906456399872.0
0.0,0.242,0.01,909178830848.0
0.0,0.248,0.01,909891665920.0
0.0,0.254,0.01,908692619264.0
0.0,0.26,0.01,905575530496.0
0.0,0.266,0.01,909234995200.0
0.0,0.272,0.01,909672251392.0
0.0,0.278,0.01,909356630016.0
0.0,0.284,0.01,906828447744.0
0.0,0.29,0.01,908532383744.0
0.0,0.296,0.01,906562699264.0
0.0,0.302,0.01,905664659456.0
0.0,0.308,0.01,907273502720.0
0.0,0.314,0.01,906998513664.0
0.0,0.32,0.01,906023469056.0
0.0,0.326,0.01,909258915840.0
0.0,0.3320000000000001,0.01,906896343040.0
0.0,0.338,0.01,906442964992.0
0.0,0.344,0.01,907321081856.0
0.0,0.35,0.01,905223929856.0
0.0,0.356,0.01,910537392128.0
0.0,0.362,0.01,909914275840.0
0.0,0.368,0.01,906437394432.0
0.0,0.374,0.01,907590238208.0
0.0,0.38,0.01,907864178688.0
0.0,0.386,0.01,904445952000.0
0.0,0.392,0.01,910894432256.0
0.0,0.398,0.01,906779164672.0
0.0,0.404,0.01,910448656384.0
0.0,0.41,0.01,904447918080.0
0.0,0.416,0.01,906316283904.0
0.0,0.422,0.01,908222857216.0
0.0,0.428,0.01,909436518400.0
0.0,0.434,0.01,906360520704.0
0.0,0.44,0.01,905927065600.0
0.0,0.446,0.01,905811394560.0
0.0,0.452,0.01,910169341952.0
0.0,0.4580000000000001,0.01,905064415232.0
0.0,0.4640000000000001,0.01,907239620608.0
0.0,0.47,0.01,907013914624.0
0.0,0.476,0.01,908482772992.0
0.0,0.482,0.01,909920174080.0
0.0,0.488,0.01,910089781248.0
0.0,0.494,0.01,908554403840.0
0.0,0.5,0.01,907069030400.0
0.0,0.506,0.01,904936161280.0
0.0,0.512,0.01,907047206912.0
0.0,0.518,0.01,906130882560.0
0.0,0.524,0.01,906636754944.0
0.0,0.53,0.01,907410341888.0
0.0,0.536,0.01,906702618624.0
0.0,0.542,0.01,907922636800.0
0.0,0.548,0.01,909042974720.0
0.0,0.554,0.01,908255166464.0
0.0,0.56,0.01,910975565824.0
0.0,0.5660000000000001,0.01,907964841984.0
0.0,0.5720000000000001,0.01,908892569600.0
0.0,0.5780000000000001,0.01,911152054272.0
0.0,0.5840000000000001,0.01,909999734784.0
0.0,0.5900000000000001,0.01,906917511168.0
0.0,0.5960000000000001,0.01,903599423488.0
0.0,0.6020000000000001,0.01,906747838464.0
0.0,0.6080000000000001,0.01,907223957504.0
0.0,0.6140000000000001,0.01,907787370496.0
0.0,0.6200000000000001,0.01,905555542016.0
0.0,0.6260000000000001,0.01,904434745344.0
0.0,0.6320000000000001,0.01,908616335360.0
0.0,0.6380000000000001,0.01,909140688896.0
0.0,0.6440000000000001,0.01,906480058368.0
0.0,0.6500000000000001,0.01,907352342528.0
0.0,0.6560000000000001,0.01,905496887296.0
0.0,0.6620000000000001,0.01,907165368320.0
0.0,0.6680000000000001,0.01,910102298624.0
0.0,0.6740000000000002,0.01,909153599488.0
0.0,0.6800000000000002,0.01,906992615424.0
0.0,0.6860000000000002,0.01,909392936960.0
0.0,0.6920000000000002,0.01,910246674432.0
0.0,0.6980000000000002,0.01,907219828736.0
0.0,0.7040000000000002,0.01,905734848512.0
0.0,0.7100000000000002,0.01,908943818752.0
0.0,0.7160000000000002,0.01,911520432128.0
0.0,0.7220000000000002,0.01,906104078336.0
0.0,0.7280000000000002,0.01,905522511872.0
0.0,0.7340000000000002,0.01,911020064768.0
0.0,0.74,0.01,905389670400.0
0.0,0.746,0.01,908255952896.0
0.0,0.752,0.01,907873746944.0
0.0,0.758,0.01,906861150208.0
0.0,0.764,0.01,907722555392.0
0.0,0.77,0.01,910086766592.0
0.0,0.776,0.01,908913868800.0
0.0,0.782,0.01,906976821248.0
0.0,0.788,0.01,906451746816.0
0.0,0.794,0.01,908454789120.0
0.0,0.8,0.01,905068478464.0
100.0,0.2,0.01,904187412480.0
100.0,0.206,0.01,904530821120.0
100.0,0.212,0.01,906673455104.0
100.0,0.218,0.01,904307802112.0
100.0,0.224,0.01,904061976576.0
100.0,0.23,0.01,906838278144.0
100.0,0.236,0.01,908102729728.0
100.0,0.242,0.01,906601168896.0
100.0,0.248,0.01,906837229568.0
100.0,0.254,0.01,905362407424.0
100.0,0.26,0.01,905211740160.0
100.0,0.266,0.01,907529093120.0
100.0,0.272,0.01,908438208512.0
100.0,0.278,0.01,903439187968.0
100.0,0.284,0.01,907387142144.0
100.0,0.29,0.01,905715712000.0
100.0,0.296,0.01,908054036480.0
100.0,0.302,0.01,906938613760.0
100.0,0.308,0.01,906085400576.0
100.0,0.314,0.01,908217942016.0
100.0,0.32,0.01,910335410176.0
100.0,0.326,0.01,910376108032.0
100.0,0.3320000000000001,0.01,905327149056.0
100.0,0.338,0.01,906731192320.0
100.0,0.344,0.01,907369840640.0
100.0,0.35,0.01,909209698304.0
100.0,0.356,0.01,907646271488.0
100.0,0.362,0.01,907134042112.0
100.0,0.368,0.01,906876813312.0
100.0,0.374,0.01,908685606912.0
100.0,0.38,0.01,906315563008.0
100.0,0.386,0.01,907259281408.0
100.0,0.392,0.01,907600396288.0
100.0,0.398,0.01,909347782656.0
100.0,0.404,0.01,905920315392.0
100.0,0.41,0.01,906270474240.0
100.0,0.416,0.01,910170783744.0
100.0,0.422,0.01,908479758336.0
100.0,0.428,0.01,908516524032.0
100.0,0.434,0.01,909493862400.0
100.0,0.44,0.01,906701504512.0
100.0,0.446,0.01,905077981184.0
100.0,0.452,0.01,904554217472.0
100.0,0.4580000000000001,0.01,905405530112.0
100.0,0.4640000000000001,0.01,905200533504.0
100.0,0.47,0.01,903875002368.0
100.0,0.476,0.01,902383861760.0
100.0,0.482,0.01,903060389888.0
100.0,0.488,0.01,900736286720.0
100.0,0.494,0.01,897304166400.0
100.0,0.5,0.01,897071120384.0
100.0,0.506,0.01,891616952320.0
100.0,0.512,0.01,889884377088.0
100.0,0.518,0.01,891604893696.0
100.0,0.524,0.01,889473990656.0
100.0,0.53,0.01,888993087488.0
100.0,0.536,0.01,891402780672.0
100.0,0.542,0.01,889239044096.0
100.0,0.548,0.01,892830351360.0
100.0,0.554,0.01,895174311936.0
100.0,0.56,0.01,900072144896.0
100.0,0.5660000000000001,0.01,899496280064.0
100.0,0.5720000000000001,0.01,900892327936.0
100.0,0.5780000000000001,0.01,904007712768.0
100.0,0.5840000000000001,0.01,901913182208.0
100.0,0.5900000000000001,0.01,903575240704.0
100.0,0.5960000000000001,0.01,905058844672.0
100.0,0.6020000000000001,0.01,905405202432.0
100.0,0.6080000000000001,0.01,908853903360.0
100.0,0.6140000000000001,0.01,907349262336.0
100.0,0.6200000000000001,0.01,907906056192.0
100.0,0.6260000000000001,0.01,906266279936.0
100.0,0.6320000000000001,0.01,910937358336.0
100.0,0.6380000000000001,0.01,909717209088.0
100.0,0.6440000000000001,0.01,908705660928.0
100.0,0.6500000000000001,0.01,908518752256.0
100.0,0.6560000000000001,0.01,909067026432.0
100.0,0.6620000000000001,0.01,906910040064.0
100.0,0.6680000000000001,0.01,906138157056.0
100.0,0.6740000000000002,0.01,909116964864.0
100.0,0.6800000000000002,0.01,908664438784.0
100.0,0.6860000000000002,0.01,907322654720.0
100.0,0.6920000000000002,0.01,907179851776.0
100.0,0.6980000000000002,0.01,907985158144.0
