a,b,c,loss
0.0,0.2,0.01,2.50376476720839e+27
0.0,0.206,0.01,2.506500788289403e+27
0.0,0.212,0.01,2.4975495426211235e+27
0.0,0.218,0.01,2.503592991127576e+27
0.0,0.224,0.01,2.503818484127133e+27
0.0,0.23,0.01,2.49704218337212e+27
0.0,0.236,0.01,2.499334597151648e+27
0.0,0.242,0.01,2.499275862718517e+27
0.0,0.248,0.01,2.5145586212487044e+27
0.0,0.254,0.01,2.5022412137218544e+27
0.0,0.26,0.01,2.5024752660106617e+27
0.0,0.266,0.01,2.506324880137916e+27
0.0,0.272,0.01,2.506833124830635e+27
0.0,0.278,0.01,2.4974279416841896e+27
0.0,0.284,0.01,2.4993452224762346e+27
0.0,0.29,0.01,2.494321214834272e+27
0.0,0.296,0.01,2.498870034348896e+27
0.0,0.302,0.01,2.501756876009455e+27
0.0,0.308,0.01,2.511901994954185e+27
0.0,0.314,0.01,2.496587950746049e+27
0.0,0.32,0.01,2.5069178322794213e+27
0.0,0.326,0.01,2.497969833238099e+27
0.0,0.3320000000000001,0.01,2.4931423941009854e+27
0.0,0.338,0.01,2.5008658244837187e+27
0.0,0.344,0.01,2.494986773360451e+27
0.0,0.35,0.01,2.50629831682645e+27
0.0,0.356,0.01,2.50408500268551e+27
0.0,0.362,0.01,2.503723446501665e+27
0.0,0.368,0.01,2.5090986801507915e+27
0.0,0.374,0.01,2.495245027777483e+27
0.0,0.38,0.01,2.499743672148227e+27
0.0,0.386,0.01,2.510608361685784e+27
0.0,0.392,0.01,2.5155907534731166e+27
0.0,0.398,0.01,2.502276926618381e+27
0.0,0.404,0.01,2.5118482780354424e+27
0.0,0.41,0.01,2.500006058635931e+27
0.0,0.416,0.01,2.504170890725917e+27
0.0,0.422,0.01,2.503678879167983e+27
0.0,0.428,0.01,2.5163360019336944e+27
0.0,0.434,0.01,2.5114536652862176e+27
0.0,0.44,0.01,2.5046091853651084e+27
0.0,0.446,0.01,2.507007852390501e+27
0.0,0.452,0.01,2.504723407604413e+27
0.0,0.4580000000000001,0.01,2.497834950645432e+27
0.0,0.4640000000000001,0.01,2.503820255014564e+27
0.0,0.47,0.01,2.501043798670542e+27
0.0,0.476,0.01,2.5007666547875784e+27
0.0,0.482,0.01,2.49853917354719e+27
0.0,0.488,0.01,2.5079195642696e+27
0.0,0.494,0.01,2.5023332998682704e+27
0.0,0.5,0.01,2.5065559809476714e+27
0.0,0.506,0.01,2.5161170021880514e+27
0.0,0.512,0.01,2.501898251856036e+27
0.0,0.518,0.01,2.504039254760207e+27
0.0,0.524,0.01,2.500673388049542e+27
0.0,0.53,0.01,2.5035410450962643e+27
0.0,0.536,0.01,2.508743322072956e+27
0.0,0.542,0.01,2.514814514482495e+27
0.0,0.548,0.01,2.5089930172007373e+27
0.0,0.554,0.01,2.506326946173252e+27
0.0,0.56,0.01,2.5021984172756034e+27
0.0,0.5660000000000001,0.01,2.502577977481664e+27
0.0,0.5720000000000001,0.01,2.510414744659986e+27
0.0,0.5780000000000001,0.01,2.5025965717996904e+27
0.0,0.5840000000000001,0.01,2.4964123377424674e+27
0.0,0.5900000000000001,0.01,2.4962727327833176e+27
0.0,0.5960000000000001,0.01,2.496783633807183e+27
0.0,0.6020000000000001,0.01,2.514707375792915e+27
0.0,0.6080000000000001,0.01,2.501895300376984e+27
0.0,0.6140000000000001,0.01,2.5025986378350266e+27
0.0,0.6200000000000001,0.01,2.5039510055365584e+27
0.0,0.6260000000000001,0.01,2.5003404612124994e+27
0.0,0.6320000000000001,0.01,2.501210262089063e+27
0.0,0.6380000000000001,0.01,2.5110059259140605e+27
0.0,0.6440000000000001,0.01,2.498452400063067e+27
0.0,0.6500000000000001,0.01,2.498697077676461e+27
0.0,0.6560000000000001,0.01,2.4991439316049023e+27
0.0,0.6620000000000001,0.01,2.5066034997604053e+27
0.0,0.6680000000000001,0.01,2.5014118481083005e+27
0.0,0.6740000000000002,0.01,2.5054022477863253e+27
0.0,0.6800000000000002,0.01,2.5005939932630485e+27
0.0,0.6860000000000002,0.01,2.494866353015138e+27
0.0,0.6920000000000002,0.01,2.5026803938047613e+27
0.0,0.6980000000000002,0.01,2.510540772815498e+27
0.0,0.7040000000000002,0.01,2.496890477348858e+27
0.0,0.7100000000000002,0.01,2.504868620373761e+27
0.0,0.7160000000000002,0.01,2.503819959866659e+27
0.0,0.7220000000000002,0.01,2.511030128042285e+27
0.0,0.7280000000000002,0.01,2.498141019023103e+27
0.0,0.7340000000000002,0.01,2.494657683446176e+27
0.0,0.74,0.01,2.5018215134006894e+27
0.0,0.746,0.01,2.50750694749816e+27
0.0,0.752,0.01,2.4995733718069383e+27
0.0,0.758,0.01,2.5038391444804955e+27
0.0,0.764,0.01,2.500241881812169e+27
0.0,0.77,0.01,2.5080863228360264e+27
0.0,0.776,0.01,2.508202906258572e+27
0.0,0.782,0.01,2.503216677548472e+27
0.0,0.788,0.01,2.500400671385156e+27
0.0,0.794,0.01,2.51154781746797e+27
0.0,0.8,0.01,2.503264491509111e+27
100.0,0.2,0.01,2.49172538900822e+27
100.0,0.206,0.01,2.49672135759919e+27
100.0,0.212,0.01,2.501924815167502e+27
100.0,0.218,0.01,2.493229462733013e+27
100.0,0.224,0.01,2.490783572042792e+27
100.0,0.23,0.01,2.498180863990302e+27
100.0,0.236,0.01,2.506983355114371e+27
100.0,0.242,0.01,2.5021756908869046e+27
100.0,0.248,0.01,2.4972417033560214e+27
100.0,0.254,0.01,2.496668230976258e+27
100.0,0.26,0.01,2.4951880642317835e+27
100.0,0.266,0.01,2.4918652891152743e+27
100.0,0.272,0.01,2.513976294431785e+27
100.0,0.278,0.01,2.497317261219748e+27
100.0,0.284,0.01,2.4994358328831247e+27
100.0,0.29,0.01,2.499022920963779e+27
100.0,0.296,0.01,2.4999570640836714e+27
100.0,0.302,0.01,2.503432135519253e+27
100.0,0.308,0.01,2.499296227923975e+27
100.0,0.314,0.01,2.50832303145598e+27
100.0,0.32,0.01,2.5030658569689256e+27
100.0,0.326,0.01,2.497878927683304e+27
100.0,0.3320000000000001,0.01,2.493763975589293e+27
100.0,0.338,0.01,2.505194168513174e+27
100.0,0.344,0.01,2.5001530422927105e+27
100.0,0.35,0.01,2.5068850708619464e+27
100.0,0.356,0.01,2.506647181650372e+27
100.0,0.362,0.01,2.500964699031954e+27
100.0,0.368,0.01,2.512339109001756e+27
100.0,0.374,0.01,2.4927660805218817e+27
100.0,0.38,0.01,2.499063061078883e+27
100.0,0.386,0.01,2.504845893985062e+27
100.0,0.392,0.01,2.511183900100884e+27
100.0,0.398,0.01,2.509846289794611e+27
100.0,0.404,0.01,2.51455950669242e+27
100.0,0.41,0.01,2.50471012594868e+27
100.0,0.416,0.01,2.5102866504691384e+27
100.0,0.422,0.01,2.522477734692572e+27
100.0,0.428,0.01,2.5217664282410894e+27
100.0,0.434,0.01,2.5138396409516875e+27
100.0,0.44,0.01,2.503359824282484e+27
100.0,0.446,0.01,2.505936170346795e+27
100.0,0.452,0.01,2.499239264378275e+27
100.0,0.4580000000000001,0.01,2.4952358781924225e+27
100.0,0.4640000000000001,0.01,2.5085440972369595e+27
100.0,0.47,0.01,2.49499297146646e+27
100.0,0.476,0.01,2.4923348694324146e+27
100.0,0.482,0.01,2.486223536907771e+27
100.0,0.488,0.01,2.481915558083773e+27
100.0,0.494,0.01,2.485134145989754e+27
100.0,0.5,0.01,2.468344509829674e+27
100.0,0.506,0.01,2.464609413089629e+27
100.0,0.512,0.01,2.4590356924742697e+27
100.0,0.518,0.01,2.4563595864180085e+27
100.0,0.524,0.01,2.4487961261998824e+27
100.0,0.53,0.01,2.4472703591040575e+27
100.0,0.536,0.01,2.4499120804293656e+27
100.0,0.542,0.01,2.46943611435698e+27
100.0,0.548,0.01,2.465145401685435e+27
100.0,0.554,0.01,2.478530211611366e+27
100.0,0.56,0.01,2.47661115993189e+27
100.0,0.5660000000000001,0.01,2.4783799813276297e+27
100.0,0.5720000000000001,0.01,2.4778962339110407e+27
100.0,0.5780000000000001,0.01,2.4937199985514214e+27
100.0,0.5840000000000001,0.01,2.491917825442396e+27
100.0,0.5900000000000001,0.01,2.4947881388202654e+27
100.0,0.5960000000000001,0.01,2.500171636610737e+27
