loc,std,height,loss
0.525,0.0,0.0,908753240064.0
0.525,0.0,100.0,906600906752.0
0.525,0.0,200.0,909938393088.0
0.525,0.0,300.0,906039197696.0
0.525,0.0,400.0,910176157696.0
0.525,0.0,500.0,909713408000.0
0.525,0.0,600.0,908006129664.0
0.525,0.0,700.0,905765388288.0
0.525,0.0,800.0,908793348096.0
0.525,0.0,900.0,906145562624.0
0.525,0.0,1000.0,905929621504.0
0.525,0.0,1100.0,906786439168.0
0.525,0.0,1200.0,905353232384.0
0.525,0.0,1300.0,906136387584.0
0.525,0.0,1400.0,906407116800.0
0.525,0.0,1500.0,908248350720.0
0.525,0.0,1600.0,904351514624.0
0.525,0.0,1700.0,906720444416.0
0.525,0.0,1800.0,913837850624.0
0.525,0.0,1900.0,908190679040.0
0.525,0.0,2000.0,910802944000.0
0.525,0.0,2100.0,905677766656.0
0.525,0.0,2200.0,905838854144.0
0.525,0.0,2300.0,907039342592.0
0.525,0.0,2400.0,910155120640.0
0.525,0.0,2500.0,907217338368.0
0.525,0.0,2600.0,909206421504.0
0.525,0.0,2700.0,907000348672.0
0.525,0.0,2800.0,908254380032.0
0.525,0.0,2900.0,908178423808.0
0.525,0.0,3000.0,906610212864.0
0.525,0.0,3100.0,904857452544.0
0.525,0.0,3200.0,906706223104.0
0.525,0.0,3300.0,906669064192.0
0.525,0.0,3400.0,905837936640.0
0.525,0.0,3500.0,907704598528.0
0.525,0.0,3600.0,908122062848.0
0.525,0.0,3700.0,908924944384.0
0.525,0.0,3800.0,906091823104.0
0.525,0.0,3900.0,906652155904.0
0.525,0.0,4000.0,905811066880.0
0.525,0.0,4100.0,907708858368.0
0.525,0.0,4200.0,908105351168.0
0.525,0.0,4300.0,907941969920.0
0.525,0.0,4400.0,909998424064.0
0.525,0.0,4500.0,909293453312.0
0.525,0.0,4600.0,905059958784.0
0.525,0.0,4700.0,906625613824.0
0.525,0.0,4800.0,907395989504.0
0.525,0.0,4900.0,907182735360.0
0.525,0.0,5000.0,906881204224.0
0.525,0.0,5100.0,909586726912.0
0.525,0.0,5200.0,910425194496.0
0.525,0.0,5300.0,906928390144.0
0.525,0.0,5400.0,908148146176.0
0.525,0.0,5500.0,907877089280.0
0.525,0.0,5600.0,905998106624.0
0.525,0.0,5700.0,908097224704.0
0.525,0.0,5800.0,905159901184.0
0.525,0.0,5900.0,906260250624.0
0.525,0.0,6000.0,909325697024.0
0.525,0.0,6100.0,909057785856.0
0.525,0.0,6200.0,906190192640.0
0.525,0.0,6300.0,904308523008.0
0.525,0.0,6400.0,908717850624.0
0.525,0.0,6500.0,907746738176.0
0.525,0.0,6600.0,907375345664.0
0.525,0.0,6700.0,908277579776.0
0.525,0.0,6800.0,907826954240.0
0.525,0.0,6900.0,907331698688.0
0.525,0.0,7000.0,908922454016.0
0.525,0.0,7100.0,907847860224.0
0.525,0.0,7200.0,910989197312.0
0.525,0.0,7300.0,911557263360.0
0.525,0.0,7400.0,907739791360.0
0.525,0.0,7500.0,909751287808.0
0.525,0.0,7600.0,909964148736.0
0.525,0.0,7700.0,907291590656.0
0.525,0.0,7800.0,908711952384.0
0.525,0.0,7900.0,910167965696.0
0.525,0.0,8000.0,909076660224.0
0.525,0.0,8100.0,906591731712.0
0.525,0.0,8200.0,904506376192.0
0.525,0.0,8300.0,905614852096.0
0.525,0.0,8400.0,908887588864.0
0.525,0.0,8500.0,906976034816.0
0.525,0.0,8600.0,910146994176.0
0.525,0.0,8700.0,907789664256.0
0.525,0.0,8800.0,908081496064.0
0.525,0.0,8900.0,910958264320.0
0.525,0.0,9000.0,907029708800.0
0.525,0.0,9100.0,906246750208.0
0.525,0.0,9200.0,906995826688.0
0.525,0.0,9300.0,906183507968.0
0.525,0.0,9400.0,911555952640.0
0.525,0.0,9500.0,911263596544.0
0.525,0.0,9600.0,910203813888.0
0.525,0.0,9700.0,906363207680.0
0.525,0.0,9800.0,908363694080.0
0.525,0.0,9900.0,905964683264.0
0.525,0.0,10000.0,906667229184.0
0.525,0.001,0.0,906485760000.0
0.525,0.001,100.0,906312810496.0
0.525,0.001,200.0,910568390656.0
0.525,0.001,300.0,911010234368.0
0.525,0.001,400.0,904099725312.0
0.525,0.001,500.0,910961147904.0
0.525,0.001,600.0,904868921344.0
0.525,0.001,700.0,905344843776.0
0.525,0.001,800.0,909137215488.0
0.525,0.001,900.0,907639259136.0
0.525,0.001,1000.0,908487426048.0
0.525,0.001,1100.0,906646716416.0
0.525,0.001,1200.0,906450173952.0
0.525,0.001,1300.0,908045320192.0
0.525,0.001,1400.0,907721244672.0
0.525,0.001,1500.0,909600817152.0
0.525,0.001,1600.0,908935036928.0
0.525,0.001,1700.0,908305104896.0
0.525,0.001,1800.0,906464919552.0
0.525,0.001,1900.0,903672496128.0
0.525,0.001,2000.0,906282008576.0
0.525,0.001,2100.0,905533784064.0
0.525,0.001,2200.0,906325000192.0
0.525,0.001,2300.0,906165354496.0
0.525,0.001,2400.0,905935716352.0
0.525,0.001,2500.0,907562516480.0
0.525,0.001,2600.0,905890889728.0
0.525,0.001,2700.0,907134631936.0
0.525,0.001,2800.0,906595926016.0
0.525,0.001,2900.0,911043133440.0
0.525,0.001,3000.0,906509615104.0
0.525,0.001,3100.0,906998054912.0
0.525,0.001,3200.0,907297292288.0
0.525,0.001,3300.0,905527099392.0
0.525,0.001,3400.0,908315983872.0
0.525,0.001,3500.0,904761180160.0
0.525,0.001,3600.0,905718857728.0
0.525,0.001,3700.0,909499826176.0
0.525,0.001,3800.0,906116988928.0
0.525,0.001,3900.0,912538992640.0
0.525,0.001,4000.0,910426243072.0
0.525,0.001,4100.0,909719961600.0
0.525,0.001,4200.0,907809128448.0
0.525,0.001,4300.0,908863537152.0
0.525,0.001,4400.0,907034755072.0
0.525,0.001,4500.0,903828537344.0
0.525,0.001,4600.0,908335054848.0
0.525,0.001,4700.0,907626151936.0
0.525,0.001,4800.0,904308391936.0
0.525,0.001,4900.0,907991711744.0
0.525,0.001,5000.0,904876589056.0
0.525,0.001,5100.0,905790750720.0
0.525,0.001,5200.0,908720406528.0
0.525,0.001,5300.0,907700731904.0
0.525,0.001,5400.0,908442402816.0
0.525,0.001,5500.0,907336810496.0
0.525,0.001,5600.0,906143465472.0
0.525,0.001,5700.0,907153768448.0
0.525,0.001,5800.0,909658095616.0
0.525,0.001,5900.0,908897419264.0
0.525,0.001,6000.0,908059344896.0
0.525,0.001,6100.0,905152495616.0
0.525,0.001,6200.0,903425949696.0
0.525,0.001,6300.0,909563854848.0
0.525,0.001,6400.0,907591811072.0
0.525,0.001,6500.0,905356902400.0
0.525,0.001,6600.0,906402398208.0
0.525,0.001,6700.0,904490123264.0
0.525,0.001,6800.0,903417888768.0
0.525,0.001,6900.0,909412532224.0
0.525,0.001,7000.0,906466033664.0
0.525,0.001,7100.0,906098966528.0
0.525,0.001,7200.0,904774156288.0
0.525,0.001,7300.0,904578859008.0
0.525,0.001,7400.0,904906670080.0
0.525,0.001,7500.0,909444448256.0
0.525,0.001,7600.0,902588203008.0
0.525,0.001,7700.0,905637855232.0
0.525,0.001,7800.0,910187233280.0
0.525,0.001,7900.0,905223864320.0
0.525,0.001,8000.0,907142692864.0
0.525,0.001,8100.0,901556600832.0
0.525,0.001,8200.0,905291431936.0
0.525,0.001,8300.0,908324700160.0
0.525,0.001,8400.0,905740288000.0
0.525,0.001,8500.0,903311720448.0
0.525,0.001,8600.0,907580276736.0
0.525,0.001,8700.0,905649127424.0
0.525,0.001,8800.0,904695447552.0
0.525,0.001,8900.0,909152944128.0
0.525,0.001,9000.0,907798118400.0
0.525,0.001,9100.0,905633136640.0
0.525,0.001,9200.0,909660389376.0
0.525,0.001,9300.0,904382906368.0
0.525,0.001,9400.0,901703008256.0
0.525,0.001,9500.0,904450736128.0
0.525,0.001,9600.0,904177057792.0
0.525,0.001,9700.0,905121759232.0
0.525,0.001,9800.0,905154068480.0
0.525,0.001,9900.0,906857611264.0
0.525,0.001,10000.0,905061662720.0
0.525,0.002,0.0,905944170496.0
0.525,0.002,100.0,893101146112.0
0.525,0.002,200.0,877606600704.0
0.525,0.002,300.0,865920352256.0
0.525,0.002,400.0,852632010752.0
0.525,0.002,500.0,838805684224.0
0.525,0.002,600.0,822232285184.0
0.525,0.002,700.0,808941715456.0
0.525,0.002,800.0,786392743936.0
0.525,0.002,900.0,771806855168.0
0.525,0.002,1000.0,755336478720.0
0.525,0.002,1100.0,737351827456.0
0.525,0.002,1200.0,718064320512.0
0.525,0.002,1300.0,704047218688.0
0.525,0.002,1400.0,689582243840.0
0.525,0.002,1500.0,672933412864.0
0.525,0.002,1600.0,657738235904.0
0.525,0.002,1700.0,642804678656.0
0.525,0.002,1800.0,631327096832.0
0.525,0.002,1900.0,617938878464.0
0.525,0.002,2000.0,601201836032.0
0.525,0.002,2100.0,583657848832.0
0.525,0.002,2200.0,567491624960.0
0.525,0.002,2300.0,550503120896.0
0.525,0.002,2400.0,534708551680.0
0.525,0.002,2500.0,514219147264.0
0.525,0.002,2600.0,490998759424.0
0.525,0.002,2700.0,475545567232.0
0.525,0.002,2800.0,459976605696.0
0.525,0.002,2900.0,445575659520.0
0.525,0.002,3000.0,429332529152.0
0.525,0.002,3100.0,418920300544.0
0.525,0.002,3200.0,402427445248.0
0.525,0.002,3300.0,388065329152.0
0.525,0.002,3400.0,370724175872.0
0.525,0.002,3500.0,358864355328.0
0.525,0.002,3600.0,344273059840.0
0.525,0.002,3700.0,333536952320.0
0.525,0.002,3800.0,321992491008.0
0.525,0.002,3900.0,307484688384.0
0.525,0.002,4000.0,296051769344.0
0.525,0.002,4100.0,283147927552.0
0.525,0.002,4200.0,272177020928.0
0.525,0.002,4300.0,260195631104.0
0.525,0.002,4400.0,245237891072.0
0.525,0.002,4500.0,230557106176.0
0.525,0.002,4600.0,215947804672.0
0.525,0.002,4700.0,201437167616.0
0.525,0.002,4800.0,189539745792.0
0.525,0.002,4900.0,177227104256.0
0.525,0.002,5000.0,165648121856.0
0.525,0.002,5100.0,153556205568.0
0.525,0.002,5200.0,144513335296.0
0.525,0.002,5300.0,136044453888.0
0.525,0.002,5400.0,126884118528.0
0.525,0.002,5500.0,119868702720.0
0.525,0.002,5600.0,109513940992.0
0.525,0.002,5700.0,99415400448.0
0.525,0.002,5800.0,89808592896.0
0.525,0.002,5900.0,81017200640.0
0.525,0.002,6000.0,71831937024.0
0.525,0.002,6100.0,64256401408.0
0.525,0.002,6200.0,58014384128.0
0.525,0.002,6300.0,52758269952.0
0.525,0.002,6400.0,45399805952.0
0.525,0.002,6500.0,38317719552.0
0.525,0.002,6600.0,32869277696.0
0.525,0.002,6700.0,28614391808.0
0.525,0.002,6800.0,23543883776.0
0.525,0.002,6900.0,20270729216.0
0.525,0.002,7000.0,17038464000.0
0.525,0.002,7100.0,14605061120.0
0.525,0.002,7200.0,12717810688.0
0.525,0.002,7300.0,11309380608.0
0.525,0.002,7400.0,11114445824.0
0.525,0.002,7500.0,10780863488.0
0.525,0.002,7600.0,11985406976.0
0.525,0.002,7700.0,13648466944.0
0.525,0.002,7800.0,16319032320.0
0.525,0.002,7900.0,19997784064.0
0.525,0.002,8000.0,24214114304.0
0.525,0.002,8100.0,29682763776.0
0.525,0.002,8200.0,35903938560.0
0.525,0.002,8300.0,42676076544.0
0.525,0.002,8400.0,49459101696.0
0.525,0.002,8500.0,57990459392.0
0.525,0.002,8600.0,67921850368.0
0.525,0.002,8700.0,79503884288.0
0.525,0.002,8800.0,91164106752.0
0.525,0.002,8900.0,103152910336.0
0.525,0.002,9000.0,119732224000.0
0.525,0.002,9100.0,139005837312.0
0.525,0.002,9200.0,153911902208.0
0.525,0.002,9300.0,170495000576.0
0.525,0.002,9400.0,189347774464.0
0.525,0.002,9500.0,213752627200.0
0.525,0.002,9600.0,236152651776.0
0.525,0.002,9700.0,265891954688.0
0.525,0.002,9800.0,293944426496.0
0.525,0.002,9900.0,319674712064.0
0.525,0.002,10000.0,348692447232.0
0.525,0.003,0.0,908723224576.0
0.525,0.003,100.0,893268328448.0
0.525,0.003,200.0,875752194048.0
0.525,0.003,300.0,861605265408.0
0.525,0.003,400.0,853721415680.0
0.525,0.003,500.0,836466245632.0
0.525,0.003,600.0,825892012032.0
0.525,0.003,700.0,805366267904.0
0.525,0.003,800.0,788869218304.0
0.525,0.003,900.0,771734634496.0
0.525,0.003,1000.0,753524867072.0
0.525,0.003,1100.0,735413862400.0
0.525,0.003,1200.0,716613353472.0
0.525,0.003,1300.0,702336204800.0
0.525,0.003,1400.0,689420828672.0
0.525,0.003,1500.0,672394575872.0
0.525,0.003,1600.0,661209022464.0
0.525,0.003,1700.0,641858535424.0
0.525,0.003,1800.0,629525839872.0
