a,b,c,loss
0.0,0.5,0.0,
0.0,0.5,0.001,2.850816719122304e+32
0.0,0.5,0.002,2.8508327736571884e+32
0.0,0.5,0.003,2.8508652695832196e+32
0.0,0.5,0.004,2.850798730306108e+32
0.0,0.5,0.005,2.8507683620895193e+32
0.0,0.5,0.006,2.85079563545601e+32
0.0,0.5,0.007,2.8508360619354178e+32
0.0,0.5,0.008,2.8507728109365355e+32
0.0,0.5,0.009000000000000001,2.8507643000987654e+32
0.0,0.5,0.01,2.850776486071027e+32
0.0,0.5,0.011,2.8508844189682023e+32
0.0,0.5,0.012,2.8508511493296465e+32
0.0,0.5,0.013000000000000001,2.8508120768471566e+32
0.0,0.5,0.014,2.8508749409897766e+32
0.0,0.5,0.015,2.850807241143878e+32
0.0,0.5,0.016,2.8508834518275466e+32
0.0,0.5,0.017,2.8508260036725986e+32
0.0,0.5,0.018000000000000002,2.8507981500217146e+32
0.0,0.5,0.019,2.8508401239261717e+32
0.0,0.5,0.02,2.8507855771931906e+32
0.0,0.5,0.021,2.850824069391287e+32
0.0,0.5,0.022,2.8507675883769948e+32
0.0,0.5,0.023,2.8507863509057152e+32
0.0,0.5,0.024,2.8507801612055188e+32
0.0,0.5,0.025,2.8507979565935835e+32
0.0,0.5,0.026000000000000002,2.8509016340718737e+32
0.0,0.5,0.027,2.8508681710051867e+32
0.0,0.5,0.028,2.850763719814372e+32
0.0,0.5,0.029,2.850824069391287e+32
0.0,0.5,0.03,2.8508186534036153e+32
0.0,0.5,0.031,2.8507681686613882e+32
0.0,0.5,0.032,2.8507755189303715e+32
0.0,0.5,0.033,2.850776099214765e+32
0.0,0.5,0.034,2.8508227153943692e+32
0.0,0.5,0.035,2.8508830649712844e+32
0.0,0.5,0.036000000000000004,2.8508051134344356e+32
0.0,0.5,0.037,2.8508381896448603e+32
0.0,0.5,0.038,2.850862948445646e+32
0.0,0.5,0.039,2.850887900674563e+32
0.0,0.5,0.04,2.8508256168163363e+32
0.0,0.5,0.041,2.8507811283461745e+32
0.0,0.5,0.042,2.8508360619354178e+32
0.0,0.5,0.043000000000000003,2.8508347079384998e+32
0.0,0.5,0.044,2.850842058207483e+32
0.0,0.5,0.045,2.8508039528656488e+32
0.0,0.5,0.046,2.8508143979847303e+32
0.0,0.5,0.047,2.8508691381458424e+32
0.0,0.5,0.048,2.8508039528656488e+32
0.0,0.5,0.049,2.8508149782691237e+32
0.0,0.5,0.05,2.8508242628194183e+32
0.0,0.5,0.051000000000000004,2.8509167214661024e+32
0.0,0.5,0.052000000000000005,2.8507815152024367e+32
0.0,0.5,0.053,2.8508149782691237e+32
0.0,0.5,0.054,2.8506929251183754e+32
0.0,0.5,0.055,2.8508242628194183e+32
0.0,0.5,0.056,2.8509178820348893e+32
0.0,0.5,0.057,2.8508368356479423e+32
0.0,0.5,0.058,2.8508289050945656e+32
0.0,0.5,0.059000000000000004,2.8507842231962727e+32
0.0,0.5,0.06,2.850841864779352e+32
0.0,0.5,0.061,2.8508494084764663e+32
0.0,0.5,0.062,2.8507913800371248e+32
0.0,0.5,0.063,2.850774745217847e+32
0.0,0.5,0.064,2.85080414629378e+32
0.0,0.5,0.065,2.8507662343800768e+32
0.0,0.5,0.066,2.850777453211683e+32
0.0,0.5,0.067,2.850775132074109e+32
0.0,0.5,0.068,2.8508219416818447e+32
0.0,0.5,0.069,2.8508428319200076e+32
0.0,0.5,0.07,2.8507950551716164e+32
0.0,0.5,0.07100000000000001,2.8507673949488636e+32
