a,b,c,loss
0.0,0.5,0.0,
0.0,0.5,0.001,7.925121914749603e+31
0.0,0.5,0.002,7.924731673495031e+31
0.0,0.5,0.003,7.9253990005474585e+31
0.0,0.5,0.004,7.925134487578127e+31
0.0,0.5,0.005,7.925114177624357e+31
0.0,0.5,0.006,7.925413024086966e+31
0.0,0.5,0.007,7.92479937334093e+31
0.0,0.5,0.008,7.925633532156464e+31
0.0,0.5,0.009000000000000001,7.924795021207979e+31
0.0,0.5,0.01,7.925083712693703e+31
0.0,0.5,0.011,7.924956050127152e+31
0.0,0.5,0.012,7.925195901009763e+31
0.0,0.5,0.013000000000000001,7.925693011306789e+31
0.0,0.5,0.014,7.9246335087184785e+31
0.0,0.5,0.015,7.924494240464059e+31
0.0,0.5,0.016,7.925384493437623e+31
0.0,0.5,0.017,7.925327915709265e+31
0.0,0.5,0.018000000000000002,7.925005374300592e+31
0.0,0.5,0.019,7.925318727873036e+31
0.0,0.5,0.02,7.924838058967157e+31
0.0,0.5,0.021,7.925238455198614e+31
0.0,0.5,0.022,7.924955082986496e+31
0.0,0.5,0.023,7.925270854410579e+31
0.0,0.5,0.024,7.925315342880741e+31
0.0,0.5,0.025,7.9246552693832315e+31
0.0,0.5,0.026000000000000002,7.925242323761236e+31
0.0,0.5,0.027,7.925469601815324e+31
0.0,0.5,0.028,7.925568733732532e+31
0.0,0.5,0.029,7.925088548396981e+31
0.0,0.5,0.03,7.924665907930444e+31
0.0,0.5,0.031,7.925380624875e+31
0.0,0.5,0.032,7.9253738548904105e+31
0.0,0.5,0.033,7.926022322700052e+31
0.0,0.5,0.034,7.924746180604867e+31
0.0,0.5,0.035,7.925113694054029e+31
0.0,0.5,0.036000000000000004,7.924769391980603e+31
0.0,0.5,0.037,7.925191548876813e+31
0.0,0.5,0.038,7.925043576356492e+31
0.0,0.5,0.039,7.92562095932794e+31
0.0,0.5,0.04,7.924778096246504e+31
0.0,0.5,0.041,7.924700241423721e+31
0.0,0.5,0.042,7.925447841150571e+31
0.0,0.5,0.043000000000000003,7.925622893609251e+31
0.0,0.5,0.044,7.924996670034691e+31
0.0,0.5,0.045,7.925277140824841e+31
0.0,0.5,0.046,7.92534919280369e+31
0.0,0.5,0.047,7.92519880243173e+31
0.0,0.5,0.048,7.924767457699292e+31
0.0,0.5,0.049,7.92511127620239e+31
0.0,0.5,0.05,7.924769875550931e+31
0.0,0.5,0.051000000000000004,7.92519203244714e+31
0.0,0.5,0.052000000000000005,7.924979261502888e+31
0.0,0.5,0.053,7.925152379680257e+31
0.0,0.5,0.054,7.925479273221881e+31
0.0,0.5,0.055,7.9252606994336945e+31
0.0,0.5,0.056,7.925435751892375e+31
0.0,0.5,0.057,7.925781021106457e+31
0.0,0.5,0.058,7.925029552816984e+31
0.0,0.5,0.059000000000000004,7.925216210963533e+31
0.0,0.5,0.06,7.924910110946006e+31
0.0,0.5,0.061,7.925003923589608e+31
0.0,0.5,0.062,7.925498132464667e+31
0.0,0.5,0.063,7.92546379897139e+31
0.0,0.5,0.064,7.924656236523887e+31
0.0,0.5,0.065,7.9251257833122255e+31
0.0,0.5,0.066,7.92488689957027e+31
0.0,0.5,0.067,7.925451226142866e+31
0.0,0.5,0.068,7.92507984413108e+31
0.0,0.5,0.069,7.925079360560752e+31
0.0,0.5,0.07,7.924954599416168e+31
0.0,0.5,0.07100000000000001,7.924719584236835e+31
0.0,0.5,0.07200000000000001,7.9258632280621905e+31
0.0,0.5,0.073,7.924731673495031e+31
0.0,0.5,0.074,7.924869491038467e+31
0.0,0.5,0.075,7.92571960767482e+31
0.0,0.5,0.076,7.924985064346822e+31
0.0,0.5,0.077,7.924867073186828e+31
0.0,0.5,0.078,7.924925585196497e+31
0.0,0.5,0.079,7.924902373820761e+31
0.0,0.5,0.08,7.925227333081073e+31
0.0,0.5,0.081,7.925323080005987e+31
0.0,0.5,0.082,7.924836124685846e+31
0.0,0.5,0.083,7.925080327701408e+31
0.0,0.5,0.084,7.925191065306485e+31
0.0,0.5,0.085,7.924968622955676e+31
0.0,0.5,0.08600000000000001,7.924998120745674e+31
0.0,0.5,0.08700000000000001,7.925281492957792e+31
0.0,0.5,0.088,7.924739894190605e+31
0.0,0.5,0.089,7.925134004007799e+31
0.0,0.5,0.09,7.925074524857474e+31
0.0,0.5,0.091,7.925145126125339e+31
0.0,0.5,0.092,7.925837115264487e+31
0.0,0.5,0.093,7.92503728994223e+31
0.0,0.5,0.094,7.925168337501076e+31
0.0,0.5,0.095,7.925105956928784e+31
0.0,0.5,0.096,7.925143191844028e+31
0.0,0.5,0.097,7.924411066367669e+31
0.0,0.5,0.098,7.925980252081529e+31
0.0,0.5,0.099,7.9252606994336945e+31
0.0,0.5,0.1,7.9249062423833835e+31
100.0,0.5,0.0,
100.0,0.5,0.001,7.864157719947748e+31
100.0,0.5,0.002,7.864553280475926e+31
100.0,0.5,0.003,7.863709933824163e+31
100.0,0.5,0.004,7.8586014968808e+31
100.0,0.5,0.005,7.843285373886938e+31
