a,b,c,loss
0.0,0.5,0.0,
0.0,0.5,0.001,1.6891717223491226e+31
0.0,0.5,0.002,1.689138718674247e+31
0.0,0.5,0.003,1.6892101661901863e+31
0.0,0.5,0.004,1.6888998349322912e+31
0.0,0.5,0.005,1.6892089572643667e+31
0.0,0.5,0.006,1.6888665894722518e+31
0.0,0.5,0.007,1.6889676556707716e+31
0.0,0.5,0.008,1.6889271566558145e+31
0.0,0.5,0.009000000000000001,1.6888361245415976e+31
0.0,0.5,0.01,1.6888876247815131e+31
0.0,0.5,0.011,1.6891242115644117e+31
0.0,0.5,0.012,1.6891649523645327e+31
0.0,0.5,0.013000000000000001,1.6891371470706816e+31
0.0,0.5,0.014,1.689007308437655e+31
0.0,0.5,0.015,1.6892249150851856e+31
0.0,0.5,0.016,1.688818957794959e+31
0.0,0.5,0.017,1.68905445654462e+31
0.0,0.5,0.018000000000000002,1.6891001539406014e+31
0.0,0.5,0.019,1.689261061967192e+31
0.0,0.5,0.02,1.689138718674247e+31
0.0,0.5,0.021,1.6891752282339995e+31
0.0,0.5,0.022,1.6892105288679322e+31
0.0,0.5,0.023,1.6893779650939488e+31
0.0,0.5,0.024,1.6890183096626135e+31
0.0,0.5,0.025,1.6887113633970133e+31
0.0,0.5,0.026000000000000002,1.6891657986126065e+31
0.0,0.5,0.027,1.6890120232483515e+31
0.0,0.5,0.028,1.6889151882902004e+31
0.0,0.5,0.029,1.689101604651585e+31
0.0,0.5,0.03,1.6894136284056275e+31
0.0,0.5,0.031,1.6889745465479434e+31
0.0,0.5,0.032,1.688963303537821e+31
0.0,0.5,0.033,1.6891274756641247e+31
0.0,0.5,0.034,1.688881459259833e+31
0.0,0.5,0.035,1.6889480710724939e+31
0.0,0.5,0.036000000000000004,1.6892964834937068e+31
0.0,0.5,0.037,1.6891239697792478e+31
0.0,0.5,0.038,1.6891459722291648e+31
0.0,0.5,0.039,1.6888935485180292e+31
0.0,0.5,0.04,1.6888488182627035e+31
0.0,0.5,0.041,1.6891801848298599e+31
0.0,0.5,0.042,1.6888704580348746e+31
0.0,0.5,0.043000000000000003,1.6893004729489115e+31
0.0,0.5,0.044,1.6891301353009278e+31
0.0,0.5,0.045,1.6889755136885991e+31
0.0,0.5,0.046,1.6891039016106422e+31
0.0,0.5,0.047,1.6886534558502538e+31
0.0,0.5,0.048,1.688843982559425e+31
0.0,0.5,0.049,1.689089152715643e+31
0.0,0.5,0.05,1.6891251787050674e+31
0.0,0.5,0.051000000000000004,1.6890927794931017e+31
