dmg_idx,loss
0,1.2189566156392012e+33
1,2.0952619508945432e+33
2,2.3938176523365523e+33
3,1.260449270905949e+33
4,6.019485375306473e+32
5,4.2800155930553084e+32
6,3.965082873348583e+32
7,3.720541358556936e+32
8,3.2110799016456928e+32
9,2.9464626745513283e+32
10,3.0052151153876813e+32
11,3.3102176216980265e+32
12,3.324762643447105e+32
13,3.04588550766896e+32
14,2.9647923111142598e+32
15,3.084225477826284e+32
16,3.2814146255464785e+32
17,3.377972014329427e+32
18,3.273867833581985e+32
19,3.164124449099336e+32
20,3.246254420436938e+32
21,3.412853296073866e+32
22,3.505962634991142e+32
23,3.367445268576616e+32
24,3.1910842685892668e+32
25,3.164917311008872e+32
26,3.286837576631073e+32
27,3.402326550321055e+32
28,3.211260563520176e+32
29,3.0666428607058087e+32
30,3.554018306747414e+32
31,4.8075656750780846e+32
32,7.338503910608587e+32
33,5.7043104835795625e+32
34,3.334250293279441e+32
35,2.2911231371232206e+32
36,2.6579918903249837e+32
37,2.843234529809812e+32
38,8.594021537883033e+31
39,4.7565481520642764e+27
40,8.610167951129806e+31
41,2.7871252843854645e+32
42,2.6505801111960248e+32
43,2.285228995111173e+32
44,3.3396945214584605e+32
45,5.924164379137761e+32
46,7.821235534077823e+32
47,5.297142720108306e+32
48,4.051879104921766e+32
49,3.1687390640239034e+32
50,3.314223905150164e+32
51,3.5317067586768685e+32
52,3.3873799717717334e+32
53,3.24173323129971e+32
54,3.259487225744374e+32
55,3.466929998696212e+32
56,3.610517116427874e+32
57,3.5302343837426435e+32
58,3.345798726420924e+32
59,3.261037745643579e+32
60,3.371818678621654e+32
61,3.4580899462469275e+32
62,3.334371766145796e+32
63,3.1326877355142083e+32
64,2.9766148319175663e+32
65,3.018628969425863e+32
66,3.259541772477355e+32
67,3.2215886585823077e+32
68,2.9679867767000095e+32
69,2.9192173551398374e+32
70,3.152042347744042e+32
71,3.614202309182322e+32
72,3.868124701477916e+32
73,4.258601551513245e+32
74,6.511952236615901e+32
75,1.4473300145477617e+33
76,2.7476184396842354e+33
77,2.288691474715428e+33
78,1.5101209639628997e+33
