dmg_idx,loss
0,2.085386980572416e+32
1,4.263641128041923e+32
2,4.410906475115312e+32
3,2.466634213902348e+32
4,1.2657137076370756e+32
5,9.570120817468408e+31
6,8.911113108961393e+31
7,8.13096716476637e+31
8,7.192077171197748e+31
9,6.739582039759927e+31
10,6.745037680198684e+31
11,7.151147295078548e+31
12,7.211298608159293e+31
13,6.881061661288771e+31
14,6.927051133748223e+31
15,7.098428941507121e+31
16,7.331746305419138e+31
17,7.600006944791624e+31
18,7.974975114128543e+31
19,8.076301473484707e+31
20,8.250609233860023e+31
21,8.657803496985245e+31
22,8.939312996200052e+31
23,8.862519126716163e+31
24,8.700399272883875e+31
25,8.784666238214293e+31
26,9.308928042007717e+31
27,1.0004566202849056e+32
28,9.435799487502666e+31
29,8.979022824382097e+31
30,1.2183076642592321e+32
31,1.8828354247726734e+32
32,3.457171936336545e+32
33,1.849813761080998e+32
34,5.180881097748492e+31
35,3.5761304787717883e+31
36,9.803046005844543e+31
37,1.6045109131651904e+32
38,5.319508137913374e+31
39,6.165849426795331e+23
40,5.060715321989781e+31
41,1.515888816748127e+32
42,9.337376484394889e+31
43,3.427820909932449e+31
44,5.530459407021864e+31
45,2.159984860483491e+32
46,4.0459903788973905e+32
47,2.4310772876958424e+32
48,1.714180988386138e+32
49,9.55770660001195e+31
50,9.916846545377818e+31
51,1.0625851557221472e+32
52,9.752611554931532e+31
53,9.15648733185759e+31
54,9.04339957498756e+31
55,9.192190296303106e+31
56,9.293220710618628e+31
57,8.915333710782832e+31
58,8.470483826228253e+31
59,8.288989243640492e+31
60,8.185258572614279e+31
61,7.745268086284223e+31
62,7.430370473783299e+31
63,7.155683184753742e+31
64,6.948217490568364e+31
65,6.846292471146327e+31
66,7.084575135184665e+31
67,6.991015398864033e+31
68,6.626509273570059e+31
69,6.5723440775777175e+31
70,6.959927629627479e+31
71,7.852090705986683e+31
72,8.533524955588205e+31
73,9.23600853799053e+31
74,1.2498226195234052e+32
75,2.4625128407121832e+32
76,4.5149108469470865e+32
77,4.379302639624881e+32
78,2.122082618186933e+32
