dmg_idx,loss
0,5.056663969783089e+31
1,9.807126372270906e+31
2,9.871919960498971e+31
3,5.26810461206336e+31
4,2.717973276792524e+31
5,2.1129370943615483e+31
6,1.9129313187312664e+31
7,1.7509350171177422e+31
8,1.5575314271735397e+31
9,1.4713318730278857e+31
10,1.4604158773396754e+31
11,1.5125084909068697e+31
12,1.5330944424410135e+31
13,1.481215929636473e+31
14,1.5240284659345595e+31
15,1.543410690030113e+31
16,1.6051880083382402e+31
17,1.6523780650291513e+31
18,1.6735746449947825e+31
19,1.6977569090571159e+31
20,1.741979536431201e+31
21,1.8212627050702578e+31
22,1.8690967565452776e+31
23,1.871372922078448e+31
24,1.814627032138975e+31
25,1.8536504322406435e+31
26,1.9656565631798652e+31
27,2.1879814063992904e+31
28,2.083616774673271e+31
29,1.9705987728230317e+31
30,2.872096328113226e+31
31,4.400435339950204e+31
32,8.121444697870429e+31
33,4.071575601373387e+31
34,1.1506514847614174e+31
35,7.070946068172076e+30
36,2.1205102892659422e+31
37,3.480863013838369e+31
38,1.0752963578954524e+31
39,1.3180317535695637e+23
40,9.302692039952399e+30
41,2.850275458854346e+31
42,2.1401350238809104e+31
43,7.626824667140717e+30
44,1.1475024747864852e+31
45,4.6041335377113345e+31
46,9.431349673345829e+31
47,6.216810599716923e+31
48,3.8207699165548243e+31
49,2.2994308269985795e+31
50,2.2081811061340673e+31
51,2.359105097950905e+31
52,2.2897939957201034e+31
53,2.115475838582739e+31
54,2.1223193258624136e+31
55,2.123243186973763e+31
56,2.1194546552402547e+31
57,1.9550991348897526e+31
58,1.8499872661146292e+31
59,1.8143718278984544e+31
60,1.7923581349713457e+31
61,1.7406990422030651e+31
62,1.6868474415683315e+31
63,1.6087220611867196e+31
64,1.5556991792013318e+31
65,1.5248130587914894e+31
66,1.577353700267433e+31
67,1.5047792236791636e+31
68,1.456646204848953e+31
69,1.4510289310281137e+31
70,1.4997220451905517e+31
71,1.6477253931197825e+31
72,1.8485695588059671e+31
73,1.9353011612048336e+31
74,2.452284989779014e+31
75,4.074197036120639e+31
76,6.9424557501120805e+31
77,6.8557196746876815e+31
78,3.7067844113711476e+31
